category,subdir,name,dtype,rows,compute,balanced,memory,latency,ai_min,ai_max,mfu_ceiling,metric,caveat
Quant,Quant/012_fp8_shared_expert_mlp,Quant/012 fp8_shared_expert_mlp,bf16,16,13,3,0,0,236.3,1755.6,1.000,MFU,"bf16 in, FP8 internal: gate+up+silu+down (3 GEMMs)"
L1,L1/015_grouped_query_attention_with_rope_and_qk_norm,L1/015 gqa_rope_qknorm H=4096 H_q=32 H_kv=8 D=128,bf16,16,11,4,1,0,126.9,3830.7,1.000,per-row regime,
L1,L1/067_flash_attention_gqa_ultralong,L1/067 flash_attn_gqa H=4096 H_q=32 H_kv=8 (fp32!),bf16,18,11,5,2,0,125.6,10270.6,1.000,per-row regime,inputs fp32 — bytes/peak conservative; real kernel likely casts to bf16
L1,L1/092_gqa_attention_with_qk_norm,L1/092 gqa_qknorm H=4096 H_q=96 H_kv=8 D=128,bf16,16,12,3,1,0,126.5,3109.1,1.000,per-row regime,H_q=96 (12 GQA groups) — high arithmetic intensity attention
Quant,Quant/002_fp8_attention_qkv_projection,Quant/002 fp8_qkv_proj H=7680 H_q=60 H_kv=8 D=128,bf16,16,11,4,1,0,124.3,3401.8,1.000,per-row regime,"QKV proj only (no attention/O), bf16 in/fp8 internal"
L1,L1/046_attention_softmax_with_softcapping_and_dropout,L1/046 attn_softmax (softcap+dropout),bf16,16,0,0,10,6,1.2,1.2,0.004,per-row regime,"softmax over [B, 8, Sq, Sk] — pure memory-bound"
L1,L1/049_attention_qk_matmul_with_gqa_repeat_and_scaling,L1/049 attn_qk_matmul H_q=4 H_kv=1 D=256,bf16,16,0,7,1,8,73.1,246.4,0.835,per-row regime,"QK^T only; attn_scores [B, H_q, S, S] IS the output (huge)"
FlashInfer-Bench,FlashInfer-Bench/013_gqa_paged_decode_h32_kv8_d128_ps1,FIB/013 gqa_paged_decode H_q=32 H_kv=8 D=128,bf16,48,0,0,19,29,1.3,4.0,0.014,per-row regime,decode: each batch attends to L_i KV positions; AI ≈ H_q/H_kv = 4
FlashInfer-Bench,FlashInfer-Bench/017_gqa_ragged_prefill_causal_h32_kv8_d128,FIB/017 gqa_ragged_prefill_causal H_q=32 H_kv=8 D=128,bf16,21,0,2,2,17,0.4,502.8,1.000,time + speedup_vs_reference,uniform-S approximation; real sum(S_i^2) needs cu_seqlens
FlashInfer-Bench,FlashInfer-Bench/018_mla_paged_decode_h16_ckv512_kpe64_ps1,FIB/018 mla_paged_decode H_q=16 D_ckv=512 D_kpe=64,bf16,47,0,0,17,30,6.3,29.9,0.101,per-row regime,"MLA: KV cache shared across heads → AI ≈ H_q = 16, better than GQA decode"
FlashInfer-Bench,FlashInfer-Bench/019_mla_paged_prefill_causal_h16_ckv512_kpe64_ps1,FIB/019 mla_paged_prefill_causal H_q=16 D_ckv=512 D_kpe=64,bf16,38,2,6,6,24,2.4,7931.0,1.000,per-row regime,MLA prefill causal; uniform-S approximation
L1,L1/021_vision_cu_seqlens_variable_length_attention,L1/021 vision_cu_seqlens H=1280 H_q=16 D=80 (fp32!),bf16,16,0,12,4,0,58.3,458.6,1.000,per-row regime,"fp32 inputs, uniform-S approximation"
L1,L1/003_lm_head_projection_with_logit_slicing,L1/003 lm_head_logit_slicing H=2048 V=102400,bf16,16,11,4,1,0,120.3,1612.6,1.000,per-row regime,FLOPs use logits_to_keep (algorithmic) — NOT full seq_len
L1,L1/018_fused_rope_with_qk_norm_and_kv_cache_update,L1/018 fused_qknorm_rope_kv_cache H_q=96 H_kv=8 D=128,bf16,13,0,0,8,5,2.4,2.4,0.008,per-row regime,in-place cache slice update; max_pos=262144 only allocs cache
L1,L1/020_vision_patch_merger_spatial_shuffle_mlp,L1/020 vision_patch_merger H_exp=6144 -> 3584,bf16,15,9,4,2,0,125.4,4471.4,1.000,per-row regime,spatial shuffle 4:1 + layernorm + fc1 + GELU + fc2
L1,L1/044_moe_expert_computation,L1/044 moe_expert_mlp H=7168 I=2048 E=256 topk=8,bf16,16,0,2,14,0,61.7,171.0,0.579,BW%,given routing — only expert MLP + scatter ; routing simulated
L2,L2/008_moe_sparse_routing_and_dispatch,L2/008 moe_routing_dispatch H=2048 I=768 E=128 topk=8,bf16,16,0,6,10,0,57.5,261.3,0.885,per-row regime,routing simulated
L2,L2/010_moe_expert_computation_with_weighted_accumulation,L2/010 moe_expert_weighted_accum H=2048 I=768 E=128 topk=8,bf16,16,0,7,9,0,57.5,243.7,0.825,per-row regime,given routing weights + selected experts ; routing simulated
L2,L2/012_moe_expert_batched_execution_with_capacity_factor,L2/012 moe_batched_capacity H=6144 I=2560 E=160 topk=8,bf16,16,0,4,12,0,61.9,331.2,1.000,per-row regime,capacity-factor batching — true cost may be lower if cap drops tokens ; routing simulated
L2,L2/013_expert_weighted_aggregation_with_shared_expert,L2/013 moe_with_shared H=2048 I=512 sh_I=512 E=512 topk=10,bf16,16,0,1,15,0,61.8,125.6,0.425,BW%,routing simulated
L2,L2/029_moe_sparse_routing_and_dispatch,L2/029 moe_dispatch_shared H=8192 I=3584 sh_I=7168 E=64 topk=8,bf16,9,3,6,0,0,218.3,842.2,1.000,per-row regime,Mixtral-style with HUGE shared expert (I_sh=7168) ; routing simulated
L2,L2/048_moe_expert_inference_batched_dispatch,L2/048 moe_expert_inference H=4096 I=1024 E=256 topk=8,bf16,16,0,0,16,0,59.7,110.8,0.375,BW%,routing simulated
L2,L2/065_sparse_expert_dispatch_and_combine,L2/065 sparse_dispatch_combine H=2880 I=2880 E=128 topk=4,bf16,16,0,1,15,0,61.3,370.9,1.000,BW%,routing simulated
L2,L2/081_moe_sparse_expert_dispatch,L2/081 moe_dispatch_shared H=4096 I=1408 sh_I=1408 E=128 topk=8,bf16,16,0,5,11,0,67.0,421.5,1.000,per-row regime,routing simulated
L2,L2/082_moe_layer_complete_forward_with_residual,L2/082 moe_full_with_residual H=5120 I=1536 sh_I=1536 E=160 topk=8,bf16,16,0,4,12,0,67.3,291.9,0.989,per-row regime,routing simulated
FlashInfer-Bench,FlashInfer-Bench/020_moe_fp8_block_scale_ds_routing_topk8_ng8_kg4_e32_h7168_i2048,FIB/020 fp8_moe H=7168 I=2048 E=256 local=32 topk=8,fp8,19,0,2,16,1,2.0,481.9,0.816,BW%,FP8 expert parallel — only 32/256 experts get tokens locally ; routing simulated
L1,L1/059_moe_group_score_aggregation_and_masking,L1/059 moe_group_score_agg E=256 n_group=8,bf16,16,0,0,3,13,1.2,1.2,0.004,time + speedup_vs_reference,(route-only) no GEMM — just softmax + group masking
L2,L2/049_group_limited_topk_routing,L2/049 group_limited_topk_routing H=4096 E=256 n_group=8,bf16,16,0,16,0,0,215.7,237.6,0.805,MFU + BW% (both),(route-only) hidden @ gate.T → topk over groups
Quant,Quant/011_fp8_moe_gate_routing,Quant/011 fp8_moe_gate_routing H=7168 E=256 (bf16 in/out),bf16,16,0,13,0,3,125.8,240.0,0.813,MFU + BW% (both),"(route-only) bf16 declared in/out, kernel may go fp8 internally"
L1,L1/076_batched_expert_forward,L1/076 batched_dense_moe H=2880 I=2880 E=128,bf16,14,5,6,3,0,63.1,1386.1,1.000,per-row regime,(dense-only) dense MoE: ALL experts on ALL tokens. fp32 inputs.
L2,L2/002_decoder_layer_full_block,L2/002 llama3_decoder_full,bf16,18,11,6,1,0,118.4,1425.0,1.000,per-row regime,multi-kernel — recommended: per-op breakdown
L2,L2/004_fused_residual_rms_mlp,L2/004 fused_residual_rms_mlp,bf16,16,15,1,0,0,246.0,3550.1,1.000,MFU,multi-kernel — recommended: per-op breakdown
L2,L2/007_multimodal_rotary_embedding_attention,L2/007 mrope_gqa_attn,bf16,16,11,4,1,0,112.7,1260.6,1.000,per-row regime,multi-kernel — recommended: per-op breakdown
L2,L2/009_decoder_layer_with_residual_connections,L2/009 qwen3_decoder_with_moe,bf16,16,2,4,10,0,85.2,836.0,1.000,per-row regime,multi-kernel — recommended: per-op breakdown
L2,L2/019_decoder_layer_fused_attention_mlp,L2/019 mrope_decoder_full,bf16,16,12,2,2,0,115.8,1279.3,1.000,per-row regime,multi-kernel — recommended: per-op breakdown
L2,L2/020_decoder_layer_pre_post_norm_residual,L2/020 decoder_pre_post_norm,bf16,16,14,1,1,0,119.4,1412.7,1.000,MFU,multi-kernel — recommended: per-op breakdown
L2,L2/027_grouped_query_attention_with_yarn_rope_and_qk_norm,L2/027 gqa_yarn_rope_qknorm,bf16,16,13,2,1,0,116.8,1093.5,1.000,MFU,multi-kernel — recommended: per-op breakdown
L2,L2/053_text_decoder_layer_with_self_attention_and_mlp,L2/053 mllama_text_decoder,bf16,16,11,4,1,0,118.4,1336.2,1.000,per-row regime,multi-kernel — recommended: per-op breakdown
L2,L2/054_vision_encoder_layer_with_gated_residuals,L2/054 vision_encoder_block,bf16,16,11,3,0,2,97.7,576.1,1.000,per-row regime,multi-kernel — recommended: per-op breakdown
